,Título,Título_original,Genero,Idioma,Actores,Colección/Saga,Duración(min),Lanzamiento,Estado,Origen,Nota,Votos,Ingresos,Presupuesto,Beneficios,id
0,Godzilla y Kong: El nuevo imperio,Godzilla x Kong: The New Empire,"['Acción', 'Ciencia ficción', 'Aventura']",['English'],"['Rebecca Hall', 'Brian Tyree Henry', 'Dan Stevens', 'Kaylee Hottle', 'Alex Ferns', 'Fala Chen', 'Rachel House', 'Ron Smyck', 'Chantelle Jamieson', 'Greg Hatton']",True,115,2024-03-27,Ya en cines,['US'],6.466,957,546503756,150000000,396503756,823464
1,Ape vs. Mecha Ape,Ape vs. Mecha Ape,"['Acción', 'Ciencia ficción']",['English'],"['Tom Arnold', 'Eugenia Kuzmina', 'Corbin Timbrook', 'Jack Pearson', 'Brendan Petrizzo', 'Xander Bailey', 'Lindsey Marie Wilson', 'Lisa Lee', 'Maureen Kedes', 'Sady Diallo']",True,80,2023-03-24,Ya en cines,['US'],5.214,117,0,0,0,1094844
2,Godzilla Minus One,ゴジラ-1.0,"['Ciencia ficción', 'Terror', 'Acción']","['English', 'Japanese']","['Ryunosuke Kamiki', 'Minami Hamabe', 'Yuki Yamada', 'Munetaka Aoki', 'Hidetaka Yoshioka', 'Sakura Ando', 'Kuranosuke Sasaki', 'Saki Nakatani', 'Mio Tanaka', 'Yuya Endo']",False,125,2023-11-03,Ya en cines,['JP'],7.844,747,115857413,15000000,100857413,940721
3,Atrapados en el abismo,No Way Up,"['Acción', 'Terror', 'Suspense']",['English'],"['Colm Meaney', 'Phyllis Logan', 'Sophie McIntosh', 'Will Attenborough', 'Jeremias Amoore', 'Manuel Pacific', 'Grace Nettle', 'James Carroll Jordan', 'David J Biscoe', 'David Samartin']",False,90,2024-01-18,Ya en cines,['GB'],6.4,603,0,0,0,1096197
4,Kung Fu Panda 4,Kung Fu Panda 4,"['Animación', 'Acción', 'Familia', 'Comedia', 'Fantasía']",['English'],"['Jack Black', 'Awkwafina', 'Viola Davis', 'Dustin Hoffman', 'Bryan Cranston', 'James Hong', 'Ian McShane', 'Ke Huy Quan', 'Ronny Chieng', 'Lori Tan Chinn']",True,94,2024-03-02,Ya en cines,['US'],7.105,1527,520540090,85000000,435540090,1011985
5,Rebel Moon (Parte Dos): La Guerrera Que Deja Marcas,Rebel Moon - Part Two: The Scargiver,"['Ciencia ficción', 'Acción', 'Drama']",['English'],"['Sofia Boutella', 'Michiel Huisman', 'Ed Skrein', 'Djimon Hounsou', 'Bae Doona', 'Staz Nair', 'Elise Duffy', 'Anthony Hopkins', 'Cleopatra Coleman', 'Fra Fee']",True,123,2024-04-19,Ya en cines,['US'],6.131,676,0,83000000,-83000000,934632
6,Dune: Parte dos,Dune: Part Two,"['Ciencia ficción', 'Aventura']",['English'],"['Timothée Chalamet', 'Zendaya', 'Rebecca Ferguson', 'Javier Bardem', 'Josh Brolin', 'Austin Butler', 'Florence Pugh', 'Dave Bautista', 'Christopher Walken', 'Léa Seydoux']",True,167,2024-02-27,Ya en cines,['US'],8.214,3690,704300257,190000000,514300257,693134
7,Immaculate,Immaculate,"['Terror', 'Misterio', 'Suspense']","['English', 'Italian']","['Sydney Sweeney', 'Álvaro Morte', 'Benedetta Porcaroli', 'Dora Romano', 'Giorgio Colangeli', 'Simona Tabasco', 'Giampiero Judica', 'Niccolò Senni', 'Giulia Heathfield Di Renzi', 'Giampiero Judica']",False,89,2024-03-20,Ya en cines,['US'],6.169,403,22314913,9000000,13314913,1041613
8,Los tres mosqueteros: Milady,Les trois mousquetaires : Milady,"['Aventura', 'Acción', 'Drama']",['French'],"['François Civil', 'Vincent Cassel', 'Romain Duris', 'Pio Marmaï', 'Eva Green', 'Lyna Khoudri', 'Louis Garrel', 'Vicky Krieps', 'Jacob Fortune-Lloyd', 'Eric Ruf']",True,121,2023-12-13,Ya en cines,['FR'],6.51,382,21730766,39000000,-17269234,845111
9,El reino del planeta de los simios,Kingdom of the Planet of the Apes,"['Ciencia ficción', 'Aventura', 'Acción']",['English'],"['Owen Teague', 'Freya Allan', 'Kevin Durand', 'Peter Macon', 'William H. Macy', 'Eka Darville', 'Travis Jeffery', 'Neil Sandilands', 'Sara Wiseman', ""Ras-Samuel Welda'abzgi""]",True,145,2024-05-08,Ya en cines,['US'],7.152,23,0,0,0,653346
10,Spitfire Over Berlin,Spitfire Over Berlin,"['Bélica', 'Acción', 'Historia']",['English'],"['Kris Saddler', 'Tom Gordon', 'David Dobson', 'Vin Hawke']",False,80,2022-05-13,Ya en cines,['US'],3.8,18,0,0,0,976906
11,La noche que volvimos a casa,The Night They Came Home,"['Western', 'Suspense', 'Acción']",['English'],"['Brian Austin Green', 'Tim Abell', 'Charlie N. Townsend', 'Danny Trejo', 'Robert Carradine', 'Jesse Kove', 'Kelsey Reinhardt', 'Kassius Marcil-Green', 'Weston Cage Coppola', 'Peter Sherayko']",False,105,2024-01-12,Ya en cines,['US'],5.833,15,0,0,0,1216299
12,Alienoid,외계+인 1부,"['Ciencia ficción', 'Acción', 'Fantasía', 'Aventura']",['Korean'],"['Ryu Jun-yeol', 'Kim Woo-bin', 'Kim Tae-ri', 'So Ji-sub', 'Yum Jung-ah', 'Jo Woo-jin', 'Kim Eui-sung', 'Lee Ha-nee', 'Shin Jung-keun', 'Lee Si-hoon']",True,142,2022-07-20,Ya en cines,['KR'],6.818,313,12600000,24500000,-11900000,601796
13,Fighter,फाइटर,"['Acción', 'Suspense', 'Bélica']",['Hindi'],"['Hrithik Roshan', 'Samarth Ror', 'Deepika Padukone', 'Anil Kapoor', 'Karan Singh Grover', 'Sanjeeda Sheikh', 'Akshay Oberoi', 'Rishabh Sawhney', 'Ashutosh Rana', 'Sharib Hashmi']",False,160,2024-01-24,Ya en cines,['IN'],5.287,68,43160558,30069500,13091058,784651
14,Garfield: La película,The Garfield Movie,"['Animación', 'Comedia', 'Familia']",['English'],"['Chris Pratt', 'Samuel L. Jackson', 'Harvey Guillén', 'Nicholas Hoult', 'Hannah Waddingham', 'Brett Goldstein', 'Bowen Yang', 'Ving Rhames', 'Cecily Strong', 'Janelle James']",False,101,2024-04-30,Ya en cines,"['GB', 'US']",6.295,39,22000000,0,22000000,748783
15,Migración. Un viaje patas arriba,Migration,"['Animación', 'Acción', 'Aventura', 'Comedia', 'Familia']",['English'],"['Kumail Nanjiani', 'Elizabeth Banks', 'Caspar Jennings', 'Tresi Gazal', 'Awkwafina', 'Carol Kane', 'Keegan-Michael Key', 'Danny DeVito', 'David Mitchell', 'Isabela Merced']",False,83,2023-12-06,Ya en cines,['US'],7.481,1297,297404638,72000000,225404638,940551
16,Sayen: La cazadora,Sayen: La cazadora,"['Acción', 'Suspense']",['Spanish'],"['Rallén Montenegro', 'Aarón Díaz', 'Eva De Dominici', 'Alfredo Castro', 'Eyal Meyer', 'Amalia Kassai', 'Dindi Jane', 'Steevens Benjamin', 'Camilo Arancibia']",True,88,2024-04-26,Ya en cines,['CL'],6.6,18,0,0,0,850888
17,La idea de tenerte,The Idea of You,"['Romance', 'Comedia', 'Música']",['English'],"['Anne Hathaway', 'Nicholas Galitzine', 'Ella Rubin', 'Annie Mumolo', 'Reid Scott', 'Perry Mattfeld', 'Jordan Aaron Hall', 'Mathilda Gianopoulos', 'Meg Millidge', 'Cheech Manohar']",False,116,2024-05-02,Ya en cines,['US'],7.588,374,0,0,0,843527
18,Monster's Battlefield,异兽战场,['Ciencia ficción'],['Mandarin'],"['Zhang Meng', 'Li Ning', 'Gu Jing']",False,83,2021-12-27,Ya en cines,['CN'],3.0,1,0,0,0,920342
19,Vermin: La plaga,Vermines,['Terror'],['French'],"['Théo Christine', 'Sofia Lesaffre', 'Finnegan Oldfield', 'Jérôme Niel', 'Lisa Nyarko', 'Marie-Philomène Nga', 'Emmanuel Bonami', 'Abdellah Moundy', 'Mahamadou Sangaré', 'Xing Xing Cheng']",False,106,2023-12-27,Ya en cines,['FR'],6.956,171,2110014,0,2110014,1063879
20,578: Phát Đạn Của Kẻ Điên,578: Phát Đạn Của Kẻ Điên,"['Acción', 'Suspense']","['English', 'Vietnamese']","['Alexandre Nguyen', ""H'Hen Niê"", 'Hoàng Phúc', 'Ngọc Tình', 'Tuấn Hạc', 'Jessica Minh Anh', 'Nguyễn Lâm Thảo Tâm', 'Thanh Thảo', 'Minh Quang Nguyễn']",False,108,2022-05-20,Ya en cines,['VN'],5.607,28,0,0,0,821937
21,Madame Web,Madame Web,"['Acción', 'Fantasía']",['English'],"['Dakota Johnson', 'Sydney Sweeney', 'Isabela Merced', ""Celeste O'Connor"", 'Tahar Rahim', 'Kerry Bishé', 'Adam Scott', 'Emma Roberts', 'Mike Epps', 'Zosia Mamet']",False,116,2024-02-14,Ya en cines,['US'],5.605,1224,100298817,80000000,20298817,634492
22,Arthur,Arthur the King,"['Drama', 'Aventura']","['English', 'Spanish']","['Mark Wahlberg', 'Nathalie Emmanuel', 'Simu Liu', 'Ali Suliman', 'Juliet Rylance', 'Bear Grylls', 'Michael Landes', 'Paul Guilfoyle', 'Rob Collins', 'Elizabeth Chahin']",False,107,2024-03-15,Ya en cines,['US'],6.827,104,31649885,19000000,12649885,618588
23,Road House (De profesión: duro),Road House,"['Acción', 'Suspense']",['English'],"['Jake Gyllenhaal', 'Daniela Melchior', 'Billy Magnussen', 'Jessica Williams', 'Joaquim de Almeida', 'Hannah Love Lanier', 'J. D. Pardo', 'Arturo Castro', 'Conor McGregor', 'B.K. Cannon']",False,114,2024-03-08,Ya en cines,['US'],7.018,1684,0,85000000,-85000000,359410
24,Damaged,Damaged,"['Acción', 'Crimen', 'Suspense']",['English'],"['Samuel L. Jackson', 'Vincent Cassel', 'Gianni Capaldi', 'Kate Dickie', 'John Hannah', 'Laura Haddock', 'Brian McCardie', 'Samantha Coughlan', 'Nicolette McKeown', 'Mark Holden']",False,98,2024-04-12,Ya en cines,['US'],4.8,76,0,0,0,1105407
25,Return of Special Forces V,特种兵归来之绝地营救,['Acción'],['Mandarin'],"['Fu Cheng Peng', 'Zhao Xun', 'Sun Anqi', 'Yang Tongshu', 'Emile Amro', 'Fei Liqi', 'Lan Sun', 'Wang Guanqi']",False,97,2021-07-10,Ya en cines,['CN'],6.0,1,0,0,0,865921
26,Breathe,Breathe,"['Ciencia ficción', 'Misterio', 'Suspense']",['English'],"['Jennifer Hudson', 'Milla Jovovich', 'Quvenzhané Wallis', 'Common', 'Sam Worthington', 'Raúl Castillo', 'James Saito', 'Dan Martin', 'Madison Latham']",False,93,2024-04-04,Ya en cines,['US'],4.992,64,0,0,0,720321
27,Oppenheimer,Oppenheimer,"['Drama', 'Historia']","['Dutch', 'English']","['Cillian Murphy', 'Emily Blunt', 'Matt Damon', 'Robert Downey Jr.', 'Florence Pugh', 'Josh Hartnett', 'Casey Affleck', 'Rami Malek', 'Kenneth Branagh', 'Benny Safdie']",False,181,2023-07-19,Ya en cines,['US'],8.104,7926,952000000,100000000,852000000,872585
28,El salario del miedo,Le salaire de la peur,"['Acción', 'Suspense']",['French'],"['Franck Gastambide', 'Alban Lenoir', 'Ana Girardot', 'Sofiane Zermani', 'Astrid Whettnall', 'Bakary Diombera', 'Alka Matewa', 'Rabie Kati', 'Joseph Beddelem', 'Brice Bexter']",False,107,2024-03-28,Ya en cines,['FR'],5.751,217,0,0,0,984324
29,Fast & Furious X,Fast X,"['Acción', 'Crimen', 'Suspense']",['English'],"['Vin Diesel', 'Michelle Rodriguez', 'Tyrese Gibson', 'Ludacris', 'John Cena', 'Nathalie Emmanuel', 'Jordana Brewster', 'Sung Kang', 'Jason Momoa', 'Scott Eastwood']",True,141,2023-05-17,Ya en cines,['US'],7.124,5128,704709660,340000000,364709660,385687
